"etudiant_id","matricule_etudiant","nom_etudiant","prenom_etudiant","sexe_etudiant","date_naissance_etudiant","promotion_id","date_inscription_etudiant"
293,"ISIPA2024293","KASONGO","Jean","H","2001-07-18",47,"2023-10-29 08:50:00"
294,"UCC2024294","MBASA","Marie","F","2003-03-12",47,"2023-10-29 09:05:00"
295,"UPC2024295","MUSONDA","Paul","H","2002-01-28",48,"2023-10-30 09:10:00"
296,"UPN2024296","NDJOKU","Patricia","F","2003-09-18",48,"2023-10-30 09:25:00"
297,"UNIKIN2024297","KALONJI","Michel","H","2001-06-05",49,"2023-10-31 08:50:00"
298,"ISC2024298","MBALA","Alice","F","2003-12-21",49,"2023-10-31 09:05:00"
299,"ISIPA2024299","LUNDA","David","H","2002-05-17",50,"2023-10-01 09:10:00"
300,"UCC2024300","MUKOKO","Sophie","F","2003-08-30",50,"2023-10-01 09:25:00"
301,"UPC2024301","KAPAYA","Jean","H","2001-11-12",51,"2023-10-02 09:05:00"
302,"UPN2024302","MBANDI","Marie","F","2003-07-25",51,"2023-10-02 09:20:00"
303,"UNIKIN2024303","MBIKAYI","Paul","H","2002-11-12",52,"2023-10-03 09:05:00"
304,"ISC2024304","KABASU","Alice","F","2003-07-25",52,"2023-10-03 09:20:00"
305,"ISIPA2024305","MWILA","Jean","H","2001-05-17",53,"2023-10-04 08:50:00"
306,"UCC2024306","BONGOLO","Marie","F","2003-02-28",53,"2023-10-04 09:05:00"
307,"UPC2024307","MBWANGU","Paul","H","2002-09-30",54,"2023-10-05 09:10:00"
308,"UPN2024308","KATUMBI","Patricia","F","2003-06-12",54,"2023-10-05 09:25:00"
309,"UNIKIN2024309","NYAMU","Michel","H","2001-08-20",55,"2023-10-06 08:50:00"
310,"ISC2024310","MBUKA","Alice","F","2003-03-07",55,"2023-10-06 09:05:00"
311,"ISIPA2024311","MULONGO","David","H","2002-01-25",56,"2023-10-07 09:10:00"
312,"UCC2024312","KASONGO","Sophie","F","2003-09-18",56,"2023-10-07 09:25:00"
313,"UPC2024313","MBASA","Jean","H","2001-07-21",57,"2023-10-08 08:50:00"
314,"UPN2024314","MUSONDA","Marie","F","2003-03-12",57,"2023-10-08 09:05:00"
315,"UNIKIN2024315","NDJOKU","Paul","H","2002-01-28",58,"2023-10-09 09:10:00"
316,"ISC2024316","KALONJI","Patricia","F","2003-09-18",58,"2023-10-09 09:25:00"
317,"ISIPA2024317","MBONGE","Michel","H","2001-06-05",59,"2023-10-10 08:50:00"
318,"UCC2024318","MBALA","Alice","F","2003-12-21",59,"2023-10-10 09:05:00"
319,"UPC2024319","LUNDA","David","H","2002-05-17",60,"2023-10-11 09:10:00"
320,"UPN2024320","MUKOKO","Sophie","F","2003-08-30",60,"2023-10-11 09:25:00"
321,"UNIKIN2024321","KALONJI","Jean","H","2002-02-11",61,"2023-10-12 09:10:00"
322,"ISC2024322","MBONGE","Alice","F","2003-06-05",61,"2023-10-12 09:25:00"
323,"ISIPA2024323","NDJOKU","Michel","H","2001-08-19",62,"2023-10-13 08:50:00"
324,"UCC2024324","MWILA","Marie","F","2003-03-22",62,"2023-10-13 09:05:00"
325,"UPC2024325","MBALA","Paul","H","2002-01-30",63,"2023-10-14 09:10:00"
326,"UPN2024326","KASONGO","Patricia","F","2003-09-12",63,"2023-10-14 09:25:00"
327,"UNIKIN2024327","MULONGO","Jean","H","2001-07-07",64,"2023-10-15 08:50:00"
328,"ISC2024328","BONGOLO","Alice","F","2003-03-15",64,"2023-10-15 09:05:00"
329,"ISIPA2024329","MBIKAYI","David","H","2002-12-18",65,"2023-10-16 09:10:00"
330,"UCC2024330","KAPAYA","Sophie","F","2003-06-25",65,"2023-10-16 09:25:00"
331,"UPC2024331","MUKOKO","Jean","H","2001-06-05",66,"2023-10-17 08:50:00"
332,"UPN2024332","MBWANGU","Marie","F","2003-12-21",66,"2023-10-17 09:05:00"
333,"UNIKIN2024333","KATUMBI","Paul","H","2002-05-17",67,"2023-10-18 09:10:00"
334,"ISC2024334","NYAMU","Sophie","F","2003-08-30",67,"2023-10-18 09:25:00"
335,"ISIPA2024335","MBUKA","Jean","H","2001-11-12",68,"2023-10-19 09:05:00"
336,"UCC2024336","MWILA","Marie","F","2003-07-25",68,"2023-10-19 09:20:00"
337,"UPC2024337","KABASU","Paul","H","2002-11-12",69,"2023-10-20 09:05:00"
338,"UPN2024338","MULONGO","Alice","F","2003-07-25",69,"2023-10-20 09:20:00"
339,"UNIKIN2024339","BONGOLO","Jean","H","2001-05-17",70,"2023-10-21 08:50:00"
340,"ISC2024340","MBIKAYI","Marie","F","2003-02-28",70,"2023-10-21 09:05:00"
341,"ISIPA2024341","KAPAYA","Paul","H","2002-09-30",71,"2023-10-22 09:10:00"
342,"UCC2024342","MUKOKO","Patricia","F","2003-06-12",71,"2023-10-22 09:25:00"
343,"UPC2024343","MBALA","Michel","H","2001-08-20",72,"2023-10-23 08:50:00"
344,"UPN2024344","KASONGO","Alice","F","2003-03-07",72,"2023-10-23 09:05:00"
345,"UNIKIN2024345","NYAMU","David","H","2002-01-25",73,"2023-10-24 09:10:00"
346,"ISC2024346","MBUKA","Sophie","F","2003-09-18",73,"2023-10-24 09:25:00"
347,"ISIPA2024347","MULONGO","Jean","H","2001-07-21",74,"2023-10-25 08:50:00"
348,"UCC2024348","BONGOLO","Marie","F","2003-03-12",74,"2023-10-25 09:05:00"
349,"UPC2024349","MBIKAYI","Paul","H","2002-01-28",75,"2023-10-26 09:10:00"
350,"UPN2024350","KAPAYA","Patricia","F","2003-09-18",75,"2023-10-26 09:25:00"
351,"UNIKIN2024351","MUKOKO","Michel","H","2001-06-05",76,"2023-10-27 08:50:00"
352,"ISC2024352","MBWANGU","Alice","F","2003-12-21",76,"2023-10-27 09:05:00"
353,"ISIPA2024353","KATUMBI","David","H","2002-05-17",77,"2023-10-28 09:10:00"
354,"UCC2024354","NYAMU","Sophie","F","2003-08-30",77,"2023-10-28 09:25:00"
355,"UPC2024355","MBUKA","Jean","H","2001-11-12",78,"2023-10-01 09:05:00"
356,"UPN2024356","MULONGO","Marie","F","2003-07-25",78,"2023-10-01 09:20:00"
357,"UNIKIN2024357","BONGOLO","Paul","H","2002-11-12",79,"2023-10-02 09:05:00"
358,"ISC2024358","MBIKAYI","Alice","F","2003-07-25",79,"2023-10-02 09:20:00"
359,"ISIPA2024359","KAPAYA","Jean","H","2001-05-17",80,"2023-10-03 08:50:00"
360,"UCC2024360","MUKOKO","Marie","F","2003-02-28",80,"2023-10-03 09:05:00"
361,"UPC2024361","MBALA","Paul","H","2002-09-30",81,"2023-10-04 09:10:00"
362,"UPN2024362","KASONGO","Patricia","F","2003-06-12",81,"2023-10-04 09:25:00"
363,"UNIKIN2024363","NYAMU","Michel","H","2001-08-20",82,"2023-10-05 08:50:00"
364,"ISC2024364","MBUKA","Alice","F","2003-03-07",82,"2023-10-05 09:05:00"
365,"ISIPA2024365","MULONGO","David","H","2002-01-25",83,"2023-10-06 09:10:00"
366,"UCC2024366","KATUMBI","Sophie","F","2003-09-18",83,"2023-10-06 09:25:00"
367,"UPC2024367","MBASA","Jean","H","2001-07-21",84,"2023-10-07 08:50:00"
368,"UPN2024368","MUSONDA","Marie","F","2003-03-12",84,"2023-10-07 09:05:00"
369,"UNIKIN2024369","NDJOKU","Paul","H","2002-01-28",85,"2023-10-08 09:10:00"
370,"ISC2024370","KALONJI","Patricia","F","2003-09-18",85,"2023-10-08 09:25:00"
371,"ISIPA2024371","MBONGE","Michel","H","2001-06-05",86,"2023-10-09 08:50:00"
372,"UCC2024372","MBALA","Alice","F","2003-12-21",86,"2023-10-09 09:05:00"
373,"UPC2024373","LUNDA","David","H","2002-05-17",87,"2023-10-10 09:10:00"
374,"UPN2024374","MUKOKO","Sophie","F","2003-08-30",87,"2023-10-10 09:25:00"
375,"UNIKIN2024375","KAPAYA","Jean","H","2001-11-12",88,"2023-10-11 09:05:00"
376,"ISC2024376","MBIKAYI","Marie","F","2003-07-25",88,"2023-10-11 09:20:00"
377,"ISIPA2024377","MUKENDI","Paul","H","2002-11-12",89,"2023-10-12 09:05:00"
378,"UCC2024378","KABONGO","Alice","F","2003-07-25",89,"2023-10-12 09:20:00"
379,"UPC2024379","MUSONDA","Jean","H","2001-05-17",90,"2023-10-13 08:50:00"
380,"UPN2024380","NDJOKU","Marie","F","2003-02-28",90,"2023-10-13 09:05:00"
381,"UNIKIN2024381","LUNDA","Paul","H","2002-09-30",91,"2023-10-14 09:10:00"
382,"ISC2024382","MUSONDA","Patricia","F","2003-06-12",91,"2023-10-14 09:25:00"
383,"ISIPA2024383","MBANDA","Michel","H","2001-08-20",92,"2023-10-15 08:50:00"
384,"UPC2024384","MBANDA","Alice","F","2003-03-07",92,"2023-10-15 09:05:00"
385,"UPN2024385","KALONJI","David","H","2002-01-25",93,"2023-10-16 09:10:00"
386,"UNIKIN2024386","MBONGE","Sophie","F","2003-09-18",93,"2023-10-16 09:25:00"
387,"ISC2024387","MULONGO","Jean","H","2001-07-21",94,"2023-10-17 08:50:00"
388,"ISIPA2024388","BONGOLO","Marie","F","2003-03-12",94,"2023-10-17 09:05:00"
389,"UCC2024389","MBIKAYI","Paul","H","2002-01-28",95,"2023-10-18 09:10:00"
390,"UPC2024390","KAPAYA","Patricia","F","2003-09-18",95,"2023-10-18 09:25:00"
391,"UPN2024391","MUKOKO","Michel","H","2001-06-05",96,"2023-10-19 08:50:00"
392,"UNIKIN2024392","MBWANGU","Alice","F","2003-12-21",96,"2023-10-19 09:05:00"
393,"ISC2024393","KATUMBI","David","H","2002-05-17",97,"2023-10-20 09:10:00"
394,"ISIPA2024394","NYAMU","Sophie","F","2003-08-30",97,"2023-10-20 09:25:00"
395,"UCC2024395","MBUKA","Jean","H","2001-11-12",98,"2023-10-21 09:05:00"
396,"UPC2024396","MULONGO","Marie","F","2003-07-25",98,"2023-10-21 09:20:00"
397,"UPN2024397","BONGOLO","Paul","H","2002-11-12",99,"2023-10-22 09:05:00"
398,"UNIKIN2024398","MBIKAYI","Alice","F","2003-07-25",99,"2023-10-22 09:20:00"
399,"ISC2024399","KAPAYA","Jean","H","2001-05-17",100,"2023-10-23 08:50:00"
400,"ISIPA2024400","MUKOKO","Marie","F","2003-02-28",100,"2023-10-23 09:05:00"
401,"UPN2024401","KASONGO","Jean","H","2002-04-11",1,"2023-10-24 09:10:00"
402,"UNIKIN2024402","MWENGE","Alice","F","2003-06-05",1,"2023-10-24 09:25:00"
403,"ISC2024403","BASHILA","Michel","H","2001-08-19",2,"2023-10-25 08:50:00"
404,"ISIPA2024404","KATUMBA","Marie","F","2003-03-22",2,"2023-10-25 09:05:00"
405,"UCC2024405","MBIKAYI","Paul","H","2002-01-30",3,"2023-10-26 09:10:00"
406,"UPC2024406","MWILU","Patricia","F","2003-09-12",3,"2023-10-26 09:25:00"
407,"UPN2024407","KABONGO","Jean","H","2001-07-07",4,"2023-10-27 08:50:00"
408,"UNIKIN2024408","LUNDA","Alice","F","2003-03-15",4,"2023-10-27 09:05:00"
409,"ISC2024409","MBALA","David","H","2002-12-18",5,"2023-10-28 09:10:00"
410,"ISIPA2024410","KABASU","Sophie","F","2003-06-25",5,"2023-10-28 09:25:00"
411,"UCC2024411","MUSONDA","Jean","H","2001-06-05",6,"2023-10-29 08:50:00"
412,"UPC2024412","MBALA","Marie","F","2003-12-21",6,"2023-10-29 09:05:00"
413,"UPN2024413","KALONJI","Paul","H","2002-05-17",7,"2023-10-30 09:10:00"
414,"UNIKIN2024414","MBONGE","Sophie","F","2003-08-30",7,"2023-10-30 09:25:00"
415,"ISC2024415","MULONGO","Jean","H","2001-11-12",8,"2023-10-31 09:05:00"
416,"ISIPA2024416","BONGOLO","Marie","F","2003-07-25",8,"2023-10-31 09:20:00"
417,"UCC2024417","MBIKAYI","Paul","H","2002-11-12",9,"2023-10-01 09:05:00"
418,"UPC2024418","KAPAYA","Alice","F","2003-07-25",9,"2023-10-01 09:20:00"
419,"UPN2024419","NDJOKU","Jean","H","2001-05-17",10,"2023-10-02 08:50:00"
420,"UNIKIN2024420","MULUMBA","Marie","F","2003-02-28",10,"2023-10-02 09:05:00"
421,"ISC2024421","MWILU","Paul","H","2002-09-30",11,"2023-10-03 09:10:00"
422,"ISIPA2024422","BASHILA","Patricia","F","2003-06-12",11,"2023-10-03 09:25:00"
423,"UCC2024423","MBALA","Michel","H","2001-08-20",12,"2023-10-04 08:50:00"
424,"UPC2024424","KATUMBA","Alice","F","2003-03-07",12,"2023-10-04 09:05:00"
425,"UPN2024425","MULONGO","David","H","2002-01-25",13,"2023-10-05 09:10:00"
426,"UNIKIN2024426","BONGOLO","Sophie","F","2003-09-18",13,"2023-10-05 09:25:00"
427,"ISC2024427","MBIKAYI","Jean","H","2001-07-21",14,"2023-10-06 08:50:00"
428,"ISIPA2024428","KAPAYA","Marie","F","2003-03-12",14,"2023-10-06 09:05:00"
429,"UCC2024429","MUKOKO","Paul","H","2002-01-28",15,"2023-10-07 09:10:00"
430,"UPC2024430","MBWANGU","Patricia","F","2003-09-18",15,"2023-10-07 09:25:00"
431,"UPN2024431","NDJOKU","Michel","H","2001-06-05",16,"2023-10-08 08:50:00"
432,"UNIKIN2024432","KALONJI","Alice","F","2003-12-21",16,"2023-10-08 09:05:00"
433,"ISC2024433","MBONGE","David","H","2002-05-17",17,"2023-10-09 09:10:00"
434,"ISIPA2024434","MULONGO","Sophie","F","2003-08-30",17,"2023-10-09 09:25:00"
435,"UCC2024435","BONGOLO","Jean","H","2001-11-12",18,"2023-10-10 09:05:00"
436,"UPC2024436","MBIKAYI","Marie","F","2003-07-25",18,"2023-10-10 09:20:00"
437,"UPN2024437","KAPAYA","Paul","H","2002-11-12",19,"2023-10-11 09:05:00"
438,"UNIKIN2024438","MULONGO","Alice","F","2003-07-25",19,"2023-10-11 09:20:00"
439,"ISC2024439","BASHILA","Jean","H","2001-05-17",20,"2023-10-12 08:50:00"
440,"ISIPA2024440","MWENGE","Marie","F","2003-02-28",20,"2023-10-12 09:05:00"
441,"UCC2024441","MBALA","Paul","H","2002-09-30",21,"2023-10-13 09:10:00"
442,"UPC2024442","KATUMBA","Patricia","F","2003-06-12",21,"2023-10-13 09:25:00"
443,"UPN2024443","MULONGO","Michel","H","2001-08-20",22,"2023-10-14 08:50:00"
444,"UNIKIN2024444","BONGOLO","Alice","F","2003-03-07",22,"2023-10-14 09:05:00"
445,"ISC2024445","MBIKAYI","David","H","2002-01-25",23,"2023-10-15 09:10:00"
446,"ISIPA2024446","KAPAYA","Sophie","F","2003-09-18",23,"2023-10-15 09:25:00"
447,"UCC2024447","MUKOKO","Jean","H","2001-07-21",24,"2023-10-16 08:50:00"
448,"UPC2024448","MBWANGU","Marie","F","2003-03-12",24,"2023-10-16 09:05:00"
449,"UPN2024449","NDJOKU","Paul","H","2002-01-28",25,"2023-10-17 09:10:00"
450,"UNIKIN2024450","MBALA","Patricia","F","2003-09-18",25,"2023-10-17 09:25:00"
451,"ISC2024451","BASHILA","Michel","H","2001-06-05",26,"2023-10-18 08:50:00"
452,"ISIPA2024452","KATUMBA","Alice","F","2003-12-21",26,"2023-10-18 09:05:00"
453,"UCC2024453","MBONGE","David","H","2002-05-17",27,"2023-10-19 09:10:00"
454,"UPC2024454","MULONGO","Sophie","F","2003-08-30",27,"2023-10-19 09:25:00"
455,"UPN2024455","BONGOLO","Jean","H","2001-11-12",28,"2023-10-20 09:05:00"
456,"UNIKIN2024456","MBIKAYI","Marie","F","2003-07-25",28,"2023-10-20 09:20:00"
457,"ISC2024457","KAPAYA","Paul","H","2002-11-12",29,"2023-10-21 09:05:00"
458,"ISIPA2024458","MULONGO","Alice","F","2003-07-25",29,"2023-10-21 09:20:00"
459,"UCC2024459","BASHILA","Jean","H","2001-05-17",30,"2023-10-22 08:50:00"
460,"UPC2024460","MWENGE","Marie","F","2003-02-28",30,"2023-10-22 09:05:00"
461,"UPN2024461","MBALA","Paul","H","2002-09-30",31,"2023-10-23 09:10:00"
462,"UNIKIN2024462","KATUMBA","Patricia","F","2003-06-12",31,"2023-10-23 09:25:00"
463,"ISC2024463","MULONGO","Michel","H","2001-08-20",32,"2023-10-24 08:50:00"
464,"ISIPA2024464","BONGOLO","Alice","F","2003-03-07",32,"2023-10-24 09:05:00"
465,"UCC2024465","MBIKAYI","David","H","2002-01-25",33,"2023-10-25 09:10:00"
466,"UPC2024466","KAPAYA","Sophie","F","2003-09-18",33,"2023-10-25 09:25:00"
467,"UPN2024467","MUKOKO","Jean","H","2001-07-21",34,"2023-10-26 08:50:00"
468,"UNIKIN2024468","MBWANGU","Marie","F","2003-03-12",34,"2023-10-26 09:05:00"
469,"ISC2024469","NDJOKU","Paul","H","2002-01-28",35,"2023-10-27 09:10:00"
470,"ISIPA2024470","MBALA","Patricia","F","2003-09-18",35,"2023-10-27 09:25:00"
471,"UCC2024471","BASHILA","Michel","H","2001-06-05",36,"2023-10-28 08:50:00"
472,"UPC2024472","KATUMBA","Alice","F","2003-12-21",36,"2023-10-28 09:05:00"
473,"UPN2024473","MBONGE","David","H","2002-05-17",37,"2023-10-29 09:10:00"
474,"UNIKIN2024474","MULONGO","Sophie","F","2003-08-30",37,"2023-10-29 09:25:00"
475,"ISC2024475","BONGOLO","Jean","H","2001-11-12",38,"2023-10-30 09:05:00"
476,"ISIPA2024476","MBIKAYI","Marie","F","2003-07-25",38,"2023-10-30 09:20:00"
477,"UCC2024477","KAPAYA","Paul","H","2002-11-12",39,"2023-10-01 09:05:00"
478,"UPC2024478","MULONGO","Alice","F","2003-07-25",39,"2023-10-01 09:20:00"
479,"UPN2024479","BASHILA","Jean","H","2001-05-17",40,"2023-10-02 08:50:00"
480,"UNIKIN2024480","MWENGE","Marie","F","2003-02-28",40,"2023-10-02 09:05:00"
481,"ISC2024481","MBALA","Paul","H","2002-09-30",41,"2023-10-03 09:10:00"
482,"ISIPA2024482","KATUMBA","Patricia","F","2003-06-12",41,"2023-10-03 09:25:00"
483,"UCC2024483","MULONGO","Michel","H","2001-08-20",42,"2023-10-04 08:50:00"
484,"UPC2024484","BONGOLO","Alice","F","2003-03-07",42,"2023-10-04 09:05:00"
485,"UPN2024485","LOKO","David","H","2002-04-15",43,"2023-10-05 09:10:00"
486,"UNIKIN2024486","MBEMBA","Sophie","F","2003-07-20",43,"2023-10-05 09:25:00"
487,"ISC2024487","MOUKOKO","Jean","H","2001-09-18",44,"2023-10-06 08:50:00"
488,"ISIPA2024488","LOUNGO","Alice","F","2003-03-25",44,"2023-10-06 09:05:00"
489,"UCC2024489","MPOKO","Paul","H","2002-01-30",45,"2023-10-07 09:10:00"
490,"UPC2024490","NGUESSO","Patricia","F","2003-09-12",45,"2023-10-07 09:25:00"
491,"UPN2024491","MOUKALA","Jean","H","2001-07-07",46,"2023-10-08 08:50:00"
492,"UNIKIN2024492","LOKO","Alice","F","2003-03-15",46,"2023-10-08 09:05:00"
493,"ISC2024493","MBEMBA","David","H","2002-12-18",47,"2023-10-09 09:10:00"
494,"ISIPA2024494","NGUESSO","Sophie","F","2003-06-25",47,"2023-10-09 09:25:00"
495,"UCC2024495","MPOKO","Jean","H","2001-06-05",48,"2023-10-10 08:50:00"
496,"UPC2024496","MOUKALA","Marie","F","2003-12-21",48,"2023-10-10 09:05:00"
497,"UPN2024497","LOUNGO","Paul","H","2002-05-17",49,"2023-10-11 09:10:00"
498,"UNIKIN2024498","MBEMBA","Sophie","F","2003-08-30",49,"2023-10-11 09:25:00"
499,"ISC2024499","MOUKOKO","Jean","H","2001-11-12",50,"2023-10-12 09:05:00"
500,"ISIPA2024500","LOKO","Marie","F","2003-07-25",50,"2023-10-12 09:20:00"
501,"UNIKIN2024502","ALMEIDA","Alice","F","2003-06-05",51,"2023-10-13 09:25:00"
502,"ISC2024503","MAKOSSO","Michel","H","2001-08-19",52,"2023-10-14 08:50:00"
503,"ISIPA2024504","ANTÓNIO","Marie","F","2003-03-22",52,"2023-10-14 09:05:00"
504,"UCC2024505","MAVOUNGOU","Paul","H","2002-01-30",53,"2023-10-15 09:10:00"
505,"UPC2024506","BAPTISTA","Patricia","F","2003-09-12",53,"2023-10-15 09:25:00"
506,"UPN2024507","MOKOKO","Jean","H","2001-07-07",54,"2023-10-16 08:50:00"
507,"UNIKIN2024508","CARVALHO","Alice","F","2003-03-15",54,"2023-10-16 09:05:00"
508,"ISC2024509","NKOUA","David","H","2002-12-18",55,"2023-10-17 09:10:00"
509,"ISIPA2024510","CASTRO","Sophie","F","2003-06-25",55,"2023-10-17 09:25:00"
510,"UCC2024511","NKODIA","Jean","H","2001-06-05",56,"2023-10-18 08:50:00"
511,"UPC2024512","COELHO","Marie","F","2003-12-21",56,"2023-10-18 09:05:00"
512,"UPN2024513","NGANGA","Paul","H","2002-05-17",57,"2023-10-19 09:10:00"
513,"UNIKIN2024514","CORREIA","Sophie","F","2003-08-30",57,"2023-10-19 09:25:00"
514,"ISC2024515","NGOUABI","Jean","H","2001-11-12",58,"2023-10-20 09:05:00"
515,"ISIPA2024516","COSTA","Marie","F","2003-07-25",58,"2023-10-20 09:20:00"
516,"UCC2024517","NGOESSI","Paul","H","2002-11-12",59,"2023-10-21 09:05:00"
517,"UPC2024518","DIAS","Alice","F","2003-07-25",59,"2023-10-21 09:20:00"
518,"UPN2024519","NGUESSO","Jean","H","2001-05-17",60,"2023-10-22 08:50:00"
519,"UNIKIN2024520","DUARTE","Marie","F","2003-02-28",60,"2023-10-22 09:05:00"
520,"ISC2024521","NZADI","Paul","H","2002-09-30",61,"2023-10-23 09:10:00"
521,"ISIPA2024522","FERNANDES","Patricia","F","2003-06-12",61,"2023-10-23 09:25:00"
522,"UCC2024523","OKOMBI","Michel","H","2001-08-20",62,"2023-10-24 08:50:00"
523,"UPC2024524","FIGUEIREDO","Alice","F","2003-03-07",62,"2023-10-24 09:05:00"
524,"UPN2024525","OKOU","David","H","2002-01-25",63,"2023-10-25 09:10:00"
525,"UNIKIN2024526","FREITAS","Sophie","F","2003-09-18",63,"2023-10-25 09:25:00"
526,"ISC2024527","ONDO","Jean","H","2001-07-21",64,"2023-10-26 08:50:00"
527,"ISIPA2024528","GOMES","Marie","F","2003-03-12",64,"2023-10-26 09:05:00"
528,"UCC2024529","OSSEBI","Paul","H","2002-01-28",65,"2023-10-27 09:10:00"
529,"UPC2024530","GONÇALVES","Patricia","F","2003-09-18",65,"2023-10-27 09:25:00"
530,"UPN2024531","OSSOUKA","Jean","H","2001-06-05",66,"2023-10-28 08:50:00"
531,"UNIKIN2024532","HENRIQUE","Alice","F","2003-12-21",66,"2023-10-28 09:05:00"
532,"ISC2024533","YOKA","David","H","2002-05-17",67,"2023-10-29 09:10:00"
533,"ISIPA2024534","LOPES","Sophie","F","2003-08-30",67,"2023-10-29 09:25:00"
534,"UCC2024535","YOMBI","Jean","H","2001-11-12",68,"2023-10-30 09:05:00"
535,"UPC2024536","MARTINS","Marie","F","2003-07-25",68,"2023-10-30 09:20:00"
536,"UPN2024537","YOKA-NGOMA","Paul","H","2002-11-12",69,"2023-10-31 09:05:00"
537,"UNIKIN2024538","MENDES","Alice","F","2003-07-25",69,"2023-10-31 09:20:00"
538,"ISC2024539","BOUANGA","Jean","H","2001-05-17",70,"2023-10-01 08:50:00"
539,"ISIPA2024540","MIRANDA","Marie","F","2003-02-28",70,"2023-10-01 09:05:00"
540,"UCC2024541","BOUKAKA","Paul","H","2002-09-30",71,"2023-10-02 09:10:00"
541,"UPC2024542","MONTEIRO","Patricia","F","2003-06-12",71,"2023-10-02 09:25:00"
542,"UPN2024543","LOUMOUAMOU","Michel","H","2001-08-20",72,"2023-10-03 08:50:00"
543,"UNIKIN2024544","MOREIRA","Alice","F","2003-03-07",72,"2023-10-03 09:05:00"
544,"ISC2024545","MAKAYA","David","H","2002-01-25",73,"2023-10-04 09:10:00"
545,"ISIPA2024546","NASCIMENTO","Sophie","F","2003-09-18",73,"2023-10-04 09:25:00"
546,"UCC2024547","LOUBASSA","Jean","H","2001-07-21",74,"2023-10-05 08:50:00"
547,"UPC2024548","NEVES","Marie","F","2003-03-12",74,"2023-10-05 09:05:00"
548,"UPN2024549","LOKO","Paul","H","2002-01-28",75,"2023-10-06 09:10:00"
549,"UNIKIN2024550","OLIVEIRA","Patricia","F","2003-09-18",75,"2023-10-06 09:25:00"
550,"UPN2024501","CHILUFYA","David","H","2002-03-12",51,"2023-10-13 09:10:00"
551,"UCC2024551","MBUI","Jean","H","2001-06-05",76,"2023-10-07 08:50:00"
552,"UPC2024552","MUKABWA","Alice","F","2003-12-21",76,"2023-10-07 09:05:00"
553,"UPN2024553","KOUASSI","Paul","H","2002-05-17",77,"2023-10-08 09:10:00"
554,"UNIKIN2024554","TCHAPO","Sophie","F","2003-08-30",77,"2023-10-08 09:25:00"
555,"ISC2024555","MBENG","Jean","H","2001-11-12",78,"2023-10-09 09:05:00"
556,"ISIPA2024556","MUKABWA","Marie","F","2003-07-25",78,"2023-10-09 09:20:00"
557,"UCC2024557","TCHOUNGUE","Paul","H","2002-11-12",79,"2023-10-10 09:05:00"
558,"UPC2024558","MUGISHA","Alice","F","2003-07-25",79,"2023-10-10 09:20:00"
559,"UPN2024559","NZUE","Jean","H","2001-05-17",80,"2023-10-11 08:50:00"
560,"UNIKIN2024560","RWANDORE","Marie","F","2003-02-28",80,"2023-10-11 09:05:00"
561,"ISC2024561","MBAYE","Paul","H","2002-09-30",81,"2023-10-12 09:10:00"
562,"ISIPA2024562","KABANDA","Patricia","F","2003-06-12",81,"2023-10-12 09:25:00"
563,"UCC2024563","NDONGA","Michel","H","2001-08-20",82,"2023-10-13 08:50:00"
564,"UPC2024564","MUNYANEZA","Alice","F","2003-03-07",82,"2023-10-13 09:05:00"
565,"UPN2024565","TCHOUA","David","H","2002-01-25",83,"2023-10-14 09:10:00"
566,"UNIKIN2024566","KABERA","Sophie","F","2003-09-18",83,"2023-10-14 09:25:00"
567,"ISC2024567","MBENGUE","Jean","H","2001-07-21",84,"2023-10-15 08:50:00"
568,"ISIPA2024568","MUNYAGANA","Marie","F","2003-03-12",84,"2023-10-15 09:05:00"
569,"UCC2024569","NGUEMA","Paul","H","2002-01-28",85,"2023-10-16 09:10:00"
570,"UPC2024570","MBONY","Patricia","F","2003-09-18",85,"2023-10-16 09:25:00"
571,"UPN2024571","KOUASSI","Jean","H","2001-06-05",86,"2023-10-17 08:50:00"
572,"UNIKIN2024572","TCHAPO","Alice","F","2003-12-21",86,"2023-10-17 09:05:00"
573,"ISC2024573","MBENG","David","H","2002-05-17",87,"2023-10-18 09:10:00"
574,"ISIPA2024574","MUKABWA","Sophie","F","2003-08-30",87,"2023-10-18 09:25:00"
575,"UCC2024575","TCHOUNGUE","Jean","H","2001-11-12",88,"2023-10-19 09:05:00"
576,"UPC2024576","MUGISHA","Marie","F","2003-07-25",88,"2023-10-19 09:20:00"
577,"UPN2024577","NZUE","Paul","H","2002-11-12",89,"2023-10-20 09:05:00"
578,"UNIKIN2024578","RWANDORE","Alice","F","2003-07-25",89,"2023-10-20 09:20:00"
579,"ISC2024579","MBAYE","Jean","H","2001-05-17",90,"2023-10-21 08:50:00"
580,"ISIPA2024580","KABANDA","Marie","F","2003-02-28",90,"2023-10-21 09:05:00"
581,"UCC2024581","NDONGA","Paul","H","2002-09-30",91,"2023-10-22 09:10:00"
582,"UPC2024582","MUNYANEZA","Patricia","F","2003-06-12",91,"2023-10-22 09:25:00"
583,"UPN2024583","TCHOUA","Michel","H","2001-08-20",92,"2023-10-23 08:50:00"
584,"UNIKIN2024584","KABERA","Alice","F","2003-03-07",92,"2023-10-23 09:05:00"
585,"ISC2024585","MBENGUE","David","H","2002-01-25",93,"2023-10-24 09:10:00"
